"value","key","key2"
0.0495049504950495,"F2 score","Random draw"
0.0411184210526316,"F2 score","Random draw"
0.0326797385620915,"F2 score","Random draw"
0.0207125103562552,"F2 score","Random draw"
0.0256849315068493,"F2 score","Random draw"
0.0461022632020117,"F2 score","Random draw"
0.0168634064080944,"F2 score","Random draw"
0.0423728813559322,"F2 score","Random draw"
0.0376884422110553,"F2 score","Random draw"
0.0424808836023789,"F2 score","Random draw"
0.0421585160202361,"F2 score","Random draw"
0.0422654268808115,"F2 score","Random draw"
0.0460636515912898,"F2 score","Random draw"
0.0376884422110553,"F2 score","Random draw"
0.0251256281407035,"F2 score","Random draw"
0.0621375310687656,"F2 score","Random draw"
0.0538971807628524,"F2 score","Random draw"
0.0421940928270042,"F2 score","Random draw"
0.0296861747243427,"F2 score","Random draw"
0.0376884422110553,"F2 score","Random draw"
0.0413907284768212,"F2 score","Random draw"
0.0417362270450751,"F2 score","Random draw"
0.0537634408602151,"F2 score","Random draw"
0.0336134453781513,"F2 score","Random draw"
0.0422297297297297,"F2 score","Random draw"
0.0341296928327645,"F2 score","Random draw"
0.025273799494524,"F2 score","Random draw"
0.0293870696893367,"F2 score","Random draw"
0.0629194630872483,"F2 score","Random draw"
0.038135593220339,"F2 score","Random draw"
0.0501672240802676,"F2 score","Random draw"
0.0418760469011725,"F2 score","Random draw"
0.0378787878787879,"F2 score","Random draw"
0.0506329113924051,"F2 score","Random draw"
0.0213310580204778,"F2 score","Random draw"
0.0212404418011895,"F2 score","Random draw"
0.0453047775947282,"F2 score","Random draw"
0.0380067567567568,"F2 score","Random draw"
0.0538079470198675,"F2 score","Random draw"
0.0289256198347107,"F2 score","Random draw"
0.0501672240802676,"F2 score","Random draw"
0.0254885301614274,"F2 score","Random draw"
0.0293378038558256,"F2 score","Random draw"
0.0376254180602007,"F2 score","Random draw"
0.0416666666666667,"F2 score","Random draw"
0.0251046025104603,"F2 score","Random draw"
0.0336417157275021,"F2 score","Random draw"
0.0412881915772089,"F2 score","Random draw"
0.0379426644182125,"F2 score","Random draw"
0.0253378378378378,"F2 score","Random draw"
0.0289017341040462,"F2 score","Random draw"
0.0420875420875421,"F2 score","Random draw"
0.0377200335289187,"F2 score","Random draw"
0.0460636515912898,"F2 score","Random draw"
0.0496688741721854,"F2 score","Random draw"
0.0417710944026734,"F2 score","Random draw"
0.045757071547421,"F2 score","Random draw"
0.0461409395973154,"F2 score","Random draw"
0.0378151260504202,"F2 score","Random draw"
0.0209205020920502,"F2 score","Random draw"
0.0626043405676127,"F2 score","Random draw"
0.0292153589315526,"F2 score","Random draw"
0.029535864978903,"F2 score","Random draw"
0.0371900826446281,"F2 score","Random draw"
0.0251677852348993,"F2 score","Random draw"
0.0420521446593776,"F2 score","Random draw"
0.0339270568278202,"F2 score","Random draw"
0.0424808836023789,"F2 score","Random draw"
0.0412541254125413,"F2 score","Random draw"
0.0577081615828524,"F2 score","Random draw"
0.0253378378378378,"F2 score","Random draw"
0.0544844928751048,"F2 score","Random draw"
0.025706940874036,"F2 score","Random draw"
0.0332502078137988,"F2 score","Random draw"
0.0512382578992314,"F2 score","Random draw"
0.0384286934244236,"F2 score","Random draw"
0.0419463087248322,"F2 score","Random draw"
0.0254452926208651,"F2 score","Random draw"
0.0291909924937448,"F2 score","Random draw"
0.0509770603228547,"F2 score","Random draw"
0.0330305532617671,"F2 score","Random draw"
0.0296610169491525,"F2 score","Random draw"
0.0508905852417303,"F2 score","Random draw"
0.0252100840336134,"F2 score","Random draw"
0.0426985482493595,"F2 score","Random draw"
0.0417362270450751,"F2 score","Random draw"
0.0496688741721854,"F2 score","Random draw"
0.037593984962406,"F2 score","Random draw"
0.0296359017781541,"F2 score","Random draw"
0.0296610169491525,"F2 score","Random draw"
0.0426621160409556,"F2 score","Random draw"
0.0210260723296888,"F2 score","Random draw"
0.0422297297297297,"F2 score","Random draw"
0.0531479967293541,"F2 score","Random draw"
0.0464919695688926,"F2 score","Random draw"
0.0207986688851914,"F2 score","Random draw"
0.0336700336700337,"F2 score","Random draw"
